DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,QC Level,# ToxCast Active,Total Assays,% ToxCast Active
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0039229,Acrylic acid,79-10-7,NIXOWILDQLNWCW-UHFFFAOYSA-N,Prop-2-enoic acid,OC(=O)C=C,"InChI=1S/C3H4O2/c1-2-3(4)5/h2H,1H2,(H,4,5)
",C3H4O2,72.063,72.021129,1,0/78,78,0
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1026667,2-Vinylpyridine,100-69-6,KGIGUEBEKRSTEW-UHFFFAOYSA-N,2-Ethenylpyridine,C=CC1=NC=CC=C1,"InChI=1S/C7H7N/c1-2-7-5-3-4-6-8-7/h2-6H,1H2
",C7H7N,105.14,105.057849,1,0/234,234,0
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1044776,2-Cyanoethyl prop-2-enoate,106-71-8,AEPWOCLBLLCOGZ-UHFFFAOYSA-N,2-Cyanoethyl prop-2-enoate,C=CC(=O)OCCC#N,"InChI=1S/C6H7NO2/c1-2-6(8)9-5-3-4-7/h2H,1,3,5H2
",C6H7NO2,125.127,125.047678,1,48/318,318,15
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2020844,Methyl methacrylate,80-62-6,VVQNEPGJFQJSBK-UHFFFAOYSA-N,Methyl 2-methylprop-2-enoate,COC(=O)C(C)=C,"InChI=1S/C5H8O2/c1-4(2)5(6)7-3/h1H2,2-3H3
",C5H8O2,100.117,100.052429,1,0/234,234,0
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2021284,Styrene,100-42-5,PPBRXRYQALVLMV-UHFFFAOYSA-N,Ethenylbenzene,C=CC1=CC=CC=C1,"InChI=1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2
",C8H8,104.152,104.062600,1,0/234,234,0
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2025391,"(2E,4E)-2,4-Hexadienal",142-83-6,BATOPAZDIZEVQF-MQQKCMAXSA-N,"(2E,4E)-Hexa-2,4-dienal",C\C=C\C=C\C=O,"InChI=1S/C6H8O/c1-2-3-4-5-6-7/h2-6H,1H3/b3-2+,5-4+
",C6H8O,96.129,96.057515,1,4/234,234,2
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3021431,Vinyl acetate,108-05-4,XTXRWKRVRITETP-UHFFFAOYSA-N,Ethenyl acetate,CC(=O)OC=C,"InChI=1S/C4H6O2/c1-3-6-4(2)5/h3H,1H2,2H3
",C4H6O2,86.09,86.036779,1,0/234,234,0
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3026485,Chlorotrifluoroethylene,79-38-9,UUAGAQFQZIEFAH-UHFFFAOYSA-N,"1-Chloro-1,2,2-trifluoroethene",FC(F)=C(F)Cl,"InChI=1S/C2ClF3/c3-1(4)2(5)6
",C2ClF3,116.47,115.964062,1, 
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4029199,1-Buten-3-yne,689-97-4,WFYPICNXBKQZGB-UHFFFAOYSA-N,But-1-en-3-yne,C=CC#C,"InChI=1S/C4H4/c1-3-4-2/h1,4H,2H2
",C4H4,52.076,52.031300,1, 
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5020029,Acrylonitrile,107-13-1,NLHHRLWOUZZQLW-UHFFFAOYSA-N,Prop-2-enenitrile,C=CC#N,"InChI=1S/C3H3N/c1-2-3-4/h2H,1H2
",C3H3N,53.064,53.026549,1,3/357,357,1
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8021434,Vinyl chloride,75-01-4,BZHJMEDXRYGGRV-UHFFFAOYSA-N,Chloroethene,ClC=C,"InChI=1S/C2H3Cl/c1-2-3/h2H,1H2
",C2H3Cl,62.5,61.992328,1, 
